algorithm,n,k,time
approx_1.0,20000,125,2150932
approx_1.0,20000,125,1821245
approx_1.0,20000,125,1901287
approx_1.0,20000,125,1803746
approx_1.0,20000,125,2179603
approx_1.0,20000,125,1965339
approx_1.0,30000,125,3147090
approx_1.0,30000,125,2971862
approx_1.0,30000,125,2808518
approx_1.0,30000,125,3113945
approx_1.0,30000,125,3094486
approx_1.0,30000,125,2947005
approx_1.0,30000,125,2529358
approx_1.0,30000,125,2892400
approx_1.0,40000,125,4138704
approx_1.0,40000,125,6176345
approx_1.0,40000,125,6833262
approx_1.0,40000,125,6941113
approx_1.0,40000,125,7765639
approx_1.0,40000,125,6367693
approx_1.0,40000,125,6867543
approx_1.0,40000,125,6480496
approx_1.0,50000,125,6201800
approx_1.0,50000,125,6781172
approx_1.0,50000,125,7885247
approx_1.0,50000,125,8172853
approx_1.0,50000,125,7451143
approx_1.0,50000,125,8100089
approx_1.0,50000,125,6558144
approx_1.0,50000,125,8164982
approx_1.0,60000,125,9886314
approx_1.0,60000,125,12210491
approx_1.0,60000,125,10500821
approx_1.0,60000,125,8516127
approx_1.0,60000,125,10330577
approx_1.0,60000,125,10690157
approx_1.0,60000,125,11900187
approx_1.0,60000,125,6334175
approx_1.0,70000,125,19502815
approx_1.0,70000,125,21259984
approx_1.0,70000,125,18733662
approx_1.0,70000,125,19832997
approx_1.0,70000,125,17754227
approx_1.0,70000,125,19193902
approx_1.0,70000,125,18452833
approx_1.0,70000,125,19323271
approx_1.0,80000,125,19911907
approx_1.0,80000,125,19053872
approx_1.0,80000,125,20072057
approx_1.0,80000,125,22584932
approx_1.0,80000,125,19928976
approx_1.0,80000,125,23819402
approx_1.0,80000,125,21136888
approx_1.0,80000,125,20507861
